run,inicio_aleatorio,destino_aleatorio,algoritimo,nos_expandidos,memoria_usada,fator_de_ramificacao,tempo_execucao
13,"(34.095608, -117.973498)","(38.479605, -120.207776)",A_star_euclidian_distance,51369,506012,2.8439255099024536,90.01194167137146
14,"(40.50157, -112.083874)","(43.277853, -102.974429)",BFS,195,11896,1.2264150943396226,90.1900041103363
14,"(40.50157, -112.083874)","(43.277853, -102.974429)",DFS,28,1848,1.4736842105263157,10.126607418060303
14,"(40.50157, -112.083874)","(43.277853, -102.974429)",UCS,180,10360,1.125,90.40357041358948
14,"(40.50157, -112.083874)","(43.277853, -102.974429)",A_star_harvesine,54183,515964,2.6811525743977325,90.011971950531
14,"(40.50157, -112.083874)","(43.277853, -102.974429)",A_star_euclidian_distance,54583,515964,2.6867855976485955,90.01167678833008
15,"(34.705212, -101.381232)","(39.451065, -100.087791)",BFS,227,13688,1.816,90.22206234931946
15,"(34.705212, -101.381232)","(39.451065, -100.087791)",DFS,31,2016,1.631578947368421,10.146463632583618
15,"(34.705212, -101.381232)","(39.451065, -100.087791)",UCS,209,11984,1.6991869918699187,90.20873188972473
15,"(34.705212, -101.381232)","(39.451065, -100.087791)",A_star_harvesine,53959,517124,3.5021402550091074,90.00546908378601
15,"(34.705212, -101.381232)","(39.451065, -100.087791)",A_star_euclidian_distance,53868,473220,3.503182824157521,90.00226211547852
16,"(38.034122, -121.191656)","(47.315619, -122.574198)",BFS,232,13968,2.09009009009009,90.32800340652466
16,"(38.034122, -121.191656)","(47.315619, -122.574198)",DFS,34,2184,1.7894736842105263,10.337345600128174
16,"(38.034122, -121.191656)","(47.315619, -122.574198)",UCS,218,12488,1.676923076923077,90.25077772140503
16,"(38.034122, -121.191656)","(47.315619, -122.574198)",A_star_harvesine,50193,515964,3.1810375198168046,90.01493215560913
16,"(38.034122, -121.191656)","(47.315619, -122.574198)",A_star_euclidian_distance,50210,515964,3.180395350884917,90.00755572319031
17,"(48.947857, -122.529106)","(33.674915, -112.211599)",BFS,215,13016,1.6412213740458015,90.296222448349
17,"(48.947857, -122.529106)","(33.674915, -112.211599)",DFS,26,1736,1.368421052631579,10.149181604385376
17,"(48.947857, -122.529106)","(33.674915, -112.211599)",UCS,211,12096,1.97196261682243,90.52061486244202
17,"(48.947857, -122.529106)","(33.674915, -112.211599)",A_star_harvesine,56611,544196,2.930282522290257,90.01237034797668
17,"(48.947857, -122.529106)","(33.674915, -112.211599)",A_star_euclidian_distance,56572,544196,2.9319012600524665,90.00426530838013
18,"(39.954407, -120.885631)","(35.207552, -101.803262)",BFS,213,12904,1.6136363636363635,90.18336796760559
18,"(39.954407, -120.885631)","(35.207552, -101.803262)",DFS,25,1680,1.3157894736842106,10.239192247390747
18,"(39.954407, -120.885631)","(35.207552, -101.803262)",UCS,198,11368,1.2857142857142858,90.36970639228821
18,"(39.954407, -120.885631)","(35.207552, -101.803262)",A_star_harvesine,54744,553916,2.4522079153171656,90.00362277030945
18,"(39.954407, -120.885631)","(35.207552, -101.803262)",A_star_euclidian_distance,55277,553916,2.4567780153390477,90.00519251823425
19,"(35.634356, -101.352444)","(34.749581, -103.548251)",BFS,204,12400,2.217391304347826,90.44737935066223
19,"(35.634356, -101.352444)","(34.749581, -103.548251)",DFS,24,1624,1.263157894736842,10.223696947097778
19,"(35.634356, -101.352444)","(34.749581, -103.548251)",UCS,197,11312,1.7747747747747749,90.48251605033875
19,"(35.634356, -101.352444)","(34.749581, -103.548251)",A_star_harvesine,56815,522020,5.157332763867386,90.00696158409119
19,"(35.634356, -101.352444)","(34.749581, -103.548251)",A_star_euclidian_distance,57179,522020,5.166241632132611,90.00303602218628
20,"(32.942416, -117.051616)","(46.622482, -122.284191)",BFS,223,13464,1.7286821705426356,90.40566229820251
20,"(32.942416, -117.051616)","(46.622482, -122.284191)",DFS,30,1960,1.5789473684210527,10.143610000610352
20,"(32.942416, -117.051616)","(46.622482, -122.284191)",UCS,208,11928,1.5639097744360901,90.39087295532227
20,"(32.942416, -117.051616)","(46.622482, -122.284191)",A_star_harvesine,51320,572388,2.5946819450565592,90.01492595672607
20,"(32.942416, -117.051616)","(46.622482, -122.284191)",A_star_euclidian_distance,52324,572388,2.587808328719936,90.00559782981873
21,"(33.332333, -112.213234)","(35.975486, -121.210951)",BFS,192,11728,2.0210526315789474,90.34010195732117
21,"(33.332333, -112.213234)","(35.975486, -121.210951)",DFS,28,1848,1.4736842105263157,10.141132354736328
21,"(33.332333, -112.213234)","(35.975486, -121.210951)",UCS,192,11032,1.3426573426573427,90.4834635257721
21,"(33.332333, -112.213234)","(35.975486, -121.210951)",A_star_harvesine,52587,500764,3.3488601214342997,90.01034760475159
21,"(33.332333, -112.213234)","(35.975486, -121.210951)",A_star_euclidian_distance,52495,500764,3.346308232217813,90.00404500961304
22,"(37.497937, -122.243377)","(33.469745, -102.205814)",BFS,222,13408,4.036363636363636,90.10617065429688
22,"(37.497937, -122.243377)","(33.469745, -102.205814)",DFS,40,2520,2.1052631578947367,10.140295505523682
22,"(37.497937, -122.243377)","(33.469745, -102.205814)",UCS,238,13608,3.606060606060606,90.3313946723938
22,"(37.497937, -122.243377)","(33.469745, -102.205814)",A_star_harvesine,57156,484604,4.999871080858086,90.00222897529602
22,"(37.497937, -122.243377)","(33.469745, -102.205814)",A_star_euclidian_distance,57426,484604,5.010586089056759,90.01176881790161
23,"(31.785808, -106.456942)","(31.985473, -103.212139)",BFS,310,18336,5.0,90.31651425361633
23,"(31.785808, -106.456942)","(31.985473, -103.212139)",DFS,53,3248,2.789473684210526,10.33619475364685
23,"(31.785808, -106.456942)","(31.985473, -103.212139)",UCS,295,16800,5.0,90.47753238677979
23,"(31.785808, -106.456942)","(31.985473, -103.212139)",A_star_harvesine,56585,503900,5.116750724326645,90.00443530082703
23,"(31.785808, -106.456942)","(31.985473, -103.212139)",A_star_euclidian_distance,56701,503900,5.110183996576808,90.01462984085083
24,"(47.048106, -122.85931)","(45.907038, -121.370031)",BFS,244,14640,2.238532110091743,90.37434577941895
24,"(47.048106, -122.85931)","(45.907038, -121.370031)",DFS,25,1680,1.3157894736842106,10.02575397491455
24,"(47.048106, -122.85931)","(45.907038, -121.370031)",UCS,231,13216,2.3333333333333335,90.4551739692688
24,"(47.048106, -122.85931)","(45.907038, -121.370031)",A_star_harvesine,59648,503900,5.310002103491796,90.00402927398682
24,"(47.048106, -122.85931)","(45.907038, -121.370031)",A_star_euclidian_distance,59520,503900,5.3054677623261695,90.0036928653717
25,"(47.650393, -117.306642)","(47.970105, -114.682502)",BFS,304,18000,4.606060606060606,90.12497639656067
25,"(47.650393, -117.306642)","(47.970105, -114.682502)",DFS,33,2128,1.736842105263158,10.179389953613281
25,"(47.650393, -117.306642)","(47.970105, -114.682502)",UCS,289,16464,4.378787878787879,90.22263360023499
25,"(47.650393, -117.306642)","(47.970105, -114.682502)",A_star_harvesine,59657,525732,3.445196811935262,90.00045323371887
25,"(47.650393, -117.306642)","(47.970105, -114.682502)",A_star_euclidian_distance,59120,534940,3.5247595616193244,90.00842523574829
26,"(33.610678, -117.847161)","(46.932954, -122.573352)",BFS,195,11896,1.4338235294117647,90.47667503356934
26,"(33.610678, -117.847161)","(46.932954, -122.573352)",DFS,31,2016,1.631578947368421,10.09498119354248
26,"(33.610678, -117.847161)","(46.932954, -122.573352)",UCS,183,10528,1.2364864864864864,90.41090106964111
26,"(33.610678, -117.847161)","(46.932954, -122.573352)",A_star_harvesine,53851,495940,3.9792590053138084,90.0047242641449
26,"(33.610678, -117.847161)","(46.932954, -122.573352)",A_star_euclidian_distance,53851,495940,3.934744182667861,90.00255155563354
27,"(43.455291, -115.930853)","(35.113545, -106.646181)",BFS,198,12064,1.2452830188679245,90.39760494232178
27,"(43.455291, -115.930853)","(35.113545, -106.646181)",DFS,26,1736,1.368421052631579,10.148147821426392
27,"(43.455291, -115.930853)","(35.113545, -106.646181)",UCS,196,11256,1.2098765432098766,90.08109927177429
27,"(43.455291, -115.930853)","(35.113545, -106.646181)",A_star_harvesine,53690,606532,4.146819526627219,90.01177930831909
27,"(43.455291, -115.930853)","(35.113545, -106.646181)",A_star_euclidian_distance,53626,606532,4.148582576056895,90.00135374069214
28,"(37.915719, -122.70865)","(47.112091, -122.588538)",BFS,220,13296,2.3157894736842106,90.353590965271
28,"(37.915719, -122.70865)","(47.112091, -122.588538)",DFS,39,2464,2.0526315789473686,10.048326015472412
28,"(37.915719, -122.70865)","(47.112091, -122.588538)",UCS,248,14168,2.6666666666666665,90.2003104686737
28,"(37.915719, -122.70865)","(47.112091, -122.588538)",A_star_harvesine,53881,521884,2.7601864569026513,90.00957727432251
28,"(37.915719, -122.70865)","(47.112091, -122.588538)",A_star_euclidian_distance,53173,521884,2.770490765171504,90.01316261291504
29,"(39.4323, -102.87308)","(45.524707, -122.845887)",BFS,218,13184,1.689922480620155,90.50125169754028
29,"(39.4323, -102.87308)","(45.524707, -122.845887)",DFS,31,2016,1.631578947368421,10.350509881973267
29,"(39.4323, -102.87308)","(45.524707, -122.845887)",UCS,211,12096,1.8672566371681416,90.37425255775452
29,"(39.4323, -102.87308)","(45.524707, -122.845887)",A_star_harvesine,69647,607900,8.847922301450701,90.00648331642151
29,"(39.4323, -102.87308)","(45.524707, -122.845887)",A_star_euclidian_distance,68378,607900,8.806402391554823,90.01808500289917
